smiles,template,compound_set,hit1
CNCc1ccnc(OC)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0602b
COc1cc(C)c(C(=O)O)cn1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634b
COc1ccc(C(=O)O)cn1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634a
COc1ncc(C(=O)O)cc1Cl,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634a
Cc1c(Br)cccc1COS(N)(=O)=O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472a
Cc1c(Br)ccc(N)c1C(=O)NCC(C)C,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0555a
Cc1cc(Br)cc(COS(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472c
Cc1cc(Br)c(F)cc1NC(=O)c1ccncc1Br,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0485a
Cc1ccc(Br)cc1COS(N)(=O)=O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472b
Cc1ccc(Br)cc1NC(=O)c1ccncc1Br,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0485a
Cc1ccc(Br)c(COS(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472b
Cc1ccc(Br)c(NC(=O)c2ccncc2Br)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0485b
Cc1ccc(Br)c(NC(=O)c2ccncc2)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0485c
Cc1ccc(Br)c(NC(=O)c2ccncc2C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0485c
Cc1ccc(Br)c(NC(=O)c2ccnc(C)c2)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0485c
Cc1cccc(Br)c1S(N)(=O)=O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639a
Cc1cc(C)cc(CN2CCOCC2(C)C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0675b
Cc1ccc(C)c(C(C)N2CCOCC2)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0675b
Cc1ccc(C)c(COS(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472b
Cc1cc(C)cc(COS(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472c
Cc1ccc(C)c(C(=O)NOC(C)(C)C)c1O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0555a
Cc1cccc(CN2CCOCC2(C)C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0675b
Cc1cccc(CN2CCOC(C)C2C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0675b
Cc1cc(C)c(C(=O)NC(C)c2cn[nH]c2)s1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0787a
Cc1cccc(C(=O)NCC(C)(C)C)c1N,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0555a
Cc1cccc(COS(N)(=O)=O)c1Cl,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472a
Cc1cccc(COS(N)(=O)=O)c1C,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472a
Cc1cccc(COS(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472c
Cc1cccc(C(=O)OCC(C)C)c1O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0555a
Cc1ccc(C(C)NC(=O)N2CCOCC2C)cc1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0654a
C#Cc1csc(C(=O)NCc2c[nH]nc2C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0787a
CCc1nc(C(=O)NCC(F)(F)F)c(C)s1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0504a
CCC1(NC(=O)c2nn(C)cc2C)CCCC1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0421b
C=Cc1nc(OC)ccc1CO,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0634a
C#Cc1scnc1C(=O)NC(C)(C)C(C)(F)F,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0504b
C#Cc1scnc1C(=O)NC(C)(C)C(F)(F)F,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0504b
C#Cc1scnc1C(=O)NC(C)C(C)F,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0504a
CC(=CBr)C(=O)NCc1cc(C)nc(C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0602b
CC(=CBr)C(=O)NCc1ccnc(C)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0602b
CC(C)c1cc(Br)ccc1S(N)(=O)=O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639a
CC(C)c1ccccc1OS(N)(=O)=O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639b
CC(C)c1ccccc1S(=O)(=O)NC(C)(C)C,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639c
CC(C)c1ccc(C(C)C)c(S(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639a
CC(C)c1cccc(COS(N)(=O)=O)c1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472c
CC(Cc1cccc(F)c1)S(N)(=O)=O,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472a
CC(C)(c1ccc(S(N)(=O)=O)cc1)C(F)(F)F,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0483a
CC(C)C1(C)CN(CC(C)(C)O)CCO1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414a
CC(N)CN1CCOC(C)(C(C)C)C1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414b
CC(C)C1(C)CN(CCN)CCO1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414b
CC(C)C1(C)CN(CCO)CCO1,x0540b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414b
C=CC(O)CN1CCOCC1(C)C,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414a
CCC(O)CN1CCOC(C)(C)C1(C)C,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414a
C=CC(O)CN1CCOCC1C,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0414b
CC(C)OC(=O)C(C)NC(=O)c1cncs1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0504c
CC(C)N(C)S(=O)(=O)NCc1ccnc(N(C)C)c1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0602a
CC(C)(NS(C)(=O)=O)c1cccc(F)c1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0472a
CCCNS(=O)(=O)c1ccc(CC#N)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0483a
CC(C)(NS(C)(=O)=O)c1ccc(C(F)(F)F)cc1,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0487b
CCCNS(=O)(=O)c1ccccc1[N+](=O)O,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639c
C#CCNS(=O)(=O)c1c(C)cccc1C,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639c
CCCNS(=O)(=O)c1ccc(Cl)cc1Br,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639c
C#CCNS(=O)(=O)c1ccc(Cl)cc1Cl,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639a
CCCNS(=O)(=O)c1ccc(Cl)cc1C,x0602b,CpKRS_FrAncestor_bulkdock_iter2_cluster_best5,x0639a
