target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C30677,1,,,,O=C(O)c1nc(Br)cs1,C#CC(N)C1CC1,C#CC(NC(=O)c1nc(Br)cs1)C1CC1,Amidation,,
C30718,1,,,,Fc1cccc2c1CCNC2,CC(C)NS(=O)(=O)F,CC(C)NS(=O)(=O)N1CCc2c(F)cccc2C1,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C30743,1,,,,CCC(=O)c1cccc(N)c1,C1CC2(CNC2)O1,CCC(=O)c1cccc(NC(=O)N2CC3(CCO3)C2)c1,Formation_of_urea_from_two_amines,,
C30749,1,,,,O=C1CNC1,CC(C)Oc1cccc(N)c1,CC(C)Oc1cccc(NC(=O)N2CC(=O)C2)c1,Formation_of_urea_from_two_amines,,
C30763,1,,,,Nc1ccc2c(c1)C(=O)CC2,C#CCOC1CNC1,C#CCOC1CN(C(=O)Nc2ccc3c(c2)C(=O)CC3)C1,Formation_of_urea_from_two_amines,,
C323004,1,,,,CC1(C)NCCOC1(C)C,CCC(O)CO,CCC(O)CN1CCOC(C)(C)C1(C)C,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C447493,1,,,,CN,COc1cc(C=O)ccn1,CNCc1ccnc(OC)c1,Reductive_amination,,
C33213,1,,,,CO,Cc1cc(Br)ncc1C(=O)O,COc1cc(C)c(C(=O)O)cn1,Buchwald-Hartwig_(thio)etherification,,
C33289,1,,,,CO,O=C(O)c1ccc(Br)nc1,COc1ccc(C(=O)O)cn1,Buchwald-Hartwig_(thio)etherification,,
C33594,1,,,,CO,O=C(O)c1cnc(O)c(Cl)c1,COc1ncc(C(=O)O)cc1Cl,Mitsunobu_aryl_ether_synthesis,,
C447496,1,,,,NS(=O)(=O)OCc1cccc(Br)c1,,Cc1c(Br)cccc1COS(N)(=O)=O,Friedel-Crafts_methylation,,
C126327,1,,,,Cc1c(Br)ccc(N)c1C(=O)O,CC(C)CN,Cc1c(Br)ccc(N)c1C(=O)NCC(C)C,Amidation,,
C447504,1,,,,NS(=O)(=O)OCc1cccc(Br)c1,,Cc1cc(Br)cc(COS(N)(=O)=O)c1,Friedel-Crafts_methylation,,
C158033,1,,,,O=C(O)c1ccncc1Br,Cc1cc(Br)c(F)cc1N,Cc1cc(Br)c(F)cc1NC(=O)c1ccncc1Br,Amidation,,
C447512,1,,,,NS(=O)(=O)OCc1cccc(Br)c1,,Cc1ccc(Br)cc1COS(N)(=O)=O,Friedel-Crafts_methylation,,
C157243,1,,,,O=C(O)c1ccncc1Br,Cc1ccc(Br)cc1N,Cc1ccc(Br)cc1NC(=O)c1ccncc1Br,Amidation,,
C447515,1,,,,NS(=O)(=O)OCc1ccccc1Br,,Cc1ccc(Br)c(COS(N)(=O)=O)c1,Friedel-Crafts_methylation,,
C157941,1,,,,O=C(O)c1ccncc1Br,Cc1ccc(Br)c(N)c1,Cc1ccc(Br)c(NC(=O)c2ccncc2Br)c1,Amidation,,
C157940,1,,,,Cc1ccc(Br)c(N)c1,O=C(O)c1ccncc1,Cc1ccc(Br)c(NC(=O)c2ccncc2)c1,Amidation,,
C152883,1,,,,Cc1ccc(Br)c(N)c1,Cc1cnccc1C(=O)O,Cc1ccc(Br)c(NC(=O)c2ccncc2C)c1,Amidation,,
C152880,1,,,,Cc1ccc(Br)c(N)c1,Cc1cc(C(=O)O)ccn1,Cc1ccc(Br)c(NC(=O)c2ccnc(C)c2)c1,Amidation,,
C447531,1,,,,Cc1cccc(Br)c1S(=O)(=O)Cl,N,Cc1cccc(Br)c1S(N)(=O)=O,Sulfonamide_Schotten-Baumann_with_amine_(intermolecular),,
C447557,1,,,,CC1(C)COCCN1,Cc1cc(C)cc(C=O)c1,Cc1cc(C)cc(CN2CCOCC2(C)C)c1,Reductive_amination,,
C139754,1,,,,Cc1ccc(C)c(C(C)O)c1,C1COCCN1,Cc1ccc(C)c(C(C)N2CCOCC2)c1,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,,
C447575,1,,,,Cc1ccc(Br)cc1COS(N)(=O)=O,CO,Cc1ccc(C)c(COS(N)(=O)=O)c1,Sp3-sp2_Macmillan_coupling_alcohol_and_aryl_halide,,
C447576,1,,,,Cc1cc(Br)cc(COS(N)(=O)=O)c1,CO,Cc1cc(C)cc(COS(N)(=O)=O)c1,Sp3-sp2_Macmillan_coupling_alcohol_and_aryl_halide,,
C150592,1,,,,Cc1ccc(C)c(C(=O)O)c1O,CC(C)(C)ON,Cc1ccc(C)c(C(=O)NOC(C)(C)C)c1O,Amidation,,
C142203,1,,,,CC1(C)COCCN1,Cc1cccc(C=O)c1,Cc1cccc(CN2CCOCC2(C)C)c1,Reductive_amination,,
C140139,1,,,,Cc1cccc(C=O)c1,CC1NCCOC1C,Cc1cccc(CN2CCOC(C)C2C)c1,Reductive_amination,,
