,smiles,error,∆∆G,∆G_bound,∆G_unbound,comRMSD,N_constrained_atoms,N_unconstrained_atoms,runtime,regarded,disregarded,LE,outcome,percent_hybrid
0,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],,63.739691913319234,191.31857901592434,127.57888710260511,0.6417742645832949,17.0,0.0,4.988852262496948,"['x0501a', 'x0501b']",[],-3.749393641959955,equally sized,0.0
1,,DistanceError 20.25 Å,,,,,,,,[],[],,too distant,
2,[H]c1c([H])c([H])c(C([H])([H])[C@]([H])(N(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])[H])c([H])c1[H],,-31.681862090097326,179.47702702509196,211.15888911518928,1.1186104188183046,19.0,0.0,5.5657947063446045,"['x0501a', 'x0407a']",[],1.6674664257945961,too moved,16.0
3,[H]O[S@]1([H])C2(N([H])N([H])[C@]1([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H],,-26.844859442993283,133.1100848362467,159.95494427923998,0.8841423012021263,19.0,0.0,5.7525084018707275,"['x0501a', 'x0407b']",[],1.4128873391049097,acceptable,22.0
4,[H]c1c([H])c(N([H])[H])c(C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],,14.944596302253643,205.93927739394618,190.99468109169254,3.7034114459954197,25.0,0.0,11.832291841506958,"['x0501a', 'x0414a']",[],-0.5977838520901457,too moved,32.0
5,[H]c1c([H])c(N([H])[H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])[C@@]([H])(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])[C@]2([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c1[H],,87.97899193169178,314.84696427080047,226.8679723391087,2.6781092753765487,26.0,0.0,14.908158540725708,"['x0501a', 'x0414b']",[],-3.3838073819881456,too moved,35.0
6,,DistanceError 20.52 Å,,,,,,,,[],[],,too distant,
7,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],,51.417309581365856,164.69812931419932,113.28081973283346,0.6324426698366064,18.0,0.0,4.612077713012695,"['x0501a', 'x0419a']",[],-2.8565171989647697,equally sized,6.0
8,[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],,51.46526631417245,164.74608604700592,113.28081973283346,0.639901379669555,18.0,0.0,4.874631404876709,"['x0501a', 'x0419c']",[],-2.8591814618984697,equally sized,6.0
9,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])N([H])N(C([H])([H])[H])C([H])([H])C23C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c1[H],,-21.50636803678458,167.507606138227,189.01397417501158,1.2952597369316212,19.0,0.0,4.5712058544158936,"['x0501a', 'x0421a']",[],1.1319141071991883,too moved,27.0
10,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])N([H])N(C([H])([H])[H])C([H])([H])C23C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c1[H],,-25.323933638390628,163.69004053662096,189.01397417501158,1.127360883089798,19.0,0.0,4.150198221206665,"['x0501a', 'x0421b']",[],1.3328386125468752,too moved,27.0
11,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
12,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])N([H])N(C([H])([H])[H])C([H])([H])C23C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c1[H],,-28.046062576623882,161.0768840610904,189.12294663771428,1.1589968682928715,19.0,0.0,5.912457704544067,"['x0501a', 'x0421d']",[],1.4761085566644148,too moved,27.0
13,,DistanceError 10.40 Å,,,,,,,,[],[],,too distant,
14,[H]c1c([H])c2c(c([H])c1C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C2([H])[H],,48.52206058946005,110.51045325846778,61.98839266900773,0.7812609251894649,19.0,0.0,6.400498390197754,"['x0501a', 'x0426a']",[],-2.5537926626031604,too contorted,11.0
15,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C2([H])[H],,47.372208726955904,170.59796354488935,123.22575481793345,0.7573261026623697,18.0,0.0,4.860144138336182,"['x0501a', 'x0434a']",[],-2.6317893737197724,too contorted,6.0
16,,DistanceError 20.98 Å,,,,,,,,[],[],,too distant,
17,,DistanceError 21.91 Å,,,,,,,,[],[],,too distant,
18,,RecursionError maximum recursion depth exceeded,,,,,,,,[],[],,crashed,
19,,DistanceError 22.66 Å,,,,,,,,[],[],,too distant,
20,,DistanceError 22.45 Å,,,,,,,,[],[],,too distant,
21,,DistanceError 22.95 Å,,,,,,,,[],[],,too distant,
22,,RecursionError maximum recursion depth exceeded,,,,,,,,[],[],,crashed,
23,,RecursionError maximum recursion depth exceeded,,,,,,,,[],[],,crashed,
24,,RecursionError maximum recursion depth exceeded,,,,,,,,[],[],,crashed,
25,,DistanceError 32.43 Å,,,,,,,,[],[],,too distant,
26,,DistanceError 23.08 Å,,,,,,,,[],[],,too distant,
27,,DistanceError 23.23 Å,,,,,,,,[],[],,too distant,
28,[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1F,,60.31409798134163,189.63948408800178,129.32538610666015,0.6882573016074949,19.0,0.0,5.150369644165039,"['x0501a', 'x0485a']",[],-3.1744262095442966,too contorted,11.0
29,,DistanceError 21.55 Å,,,,,,,,[],[],,too distant,
30,,DistanceError 8.00 Å,,,,,,,,[],[],,too distant,
31,[H]O[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C12C([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C2([H])[H],,-35.1973979602585,120.76427716845633,155.96167512871483,1.1942646667894434,17.0,0.0,4.3153111934661865,"['x0501a', 'x0489a']",[],2.070435174132853,equally sized,30.0
32,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([C@@]1([H])C(=O)[C@]34C([H])([H])C([H])([H])O[C@]([H])(C([H])([H])C3([H])[H])[C@]4([H])C([H])([H])N([H])C1([H])[H])C2([H])[H],,-27.221618019816802,85.54799550323978,112.76961352305658,0.8333637402288955,22.0,1.0,7.609591722488403,"['x0501a', 'x0492a']",[],1.1835486095572523,acceptable,23.0
33,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],,63.739691913319234,191.31857901592434,127.57888710260511,0.6417742645832949,17.0,0.0,4.855760335922241,"['x0501a', 'x0492b']",[],-3.749393641959955,equally sized,0.0
34,[H]c1c([H])c(C([H])([H])[H])c([H])c([C@](N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[N+]([H])([H])[H])c1[H],,13.366430934486402,364.4728319364686,351.1064010019822,2.4333964259943413,26.0,0.0,13.717448472976685,"['x0501a', 'x0540a']",[],-0.5140934974802462,too moved,35.0
35,[H]c1c([H])c(C([H])([H])[H])c([H])c([C@](N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[N+]([H])([H])[H])c1[H],,160.4383812576931,348.62436794762823,188.18598668993513,2.6708355963055372,26.0,0.0,14.377924680709839,"['x0501a', 'x0540b']",[],-6.170706971449734,too moved,35.0
36,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
37,,ValueError No idea what this S SP3D2 is,,,,,,,,[],[],,crashed,
38,[H]c1c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])n([H])c1C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],,60.78066699335161,102.72320187999698,41.94253488664537,1.4913001356968691,22.0,0.0,9.831207752227783,"['x0501a', 'x0602b']",[],-2.7627575906068915,too moved,28.0
39,,DistanceError 20.74 Å,,,,,,,,[],[],,too distant,
40,,DistanceError 20.81 Å,,,,,,,,[],[],,too distant,
41,,DistanceError 20.83 Å,,,,,,,,[],[],,too distant,
42,,DistanceError 20.15 Å,,,,,,,,[],[],,too distant,
43,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])C(=O)N3N(N([H])C([H])([H])SC2([H])[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],,-43.054805522640336,78.85990279534926,121.9147083179896,1.2139911048523198,19.0,1.0,6.3696887493133545,"['x0501a', 'x0502a']",[],2.152740276132017,too moved,22.0
