smiles,hit0,hit1
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501a,x0501b
[H]c1c([H])c([H])c(C([H])([H])[C@]([H])(N(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H])C([H])([H])[H])c([H])c1[H],x0501a,x0407a
[H]O[S@]1([H])C2(N([H])N([H])[C@]1([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H],x0501a,x0407b
[H]c1c([H])c(N([H])[H])c(C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],x0501a,x0414a
[H]c1c([H])c(N([H])[H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])[C@@]([H])(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])[C@]2([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c1[H],x0501a,x0414b
[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],x0501a,x0419a
[H]c1c([H])c(C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H],x0501a,x0419c
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])N([H])N(C([H])([H])[H])C([H])([H])C23C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c1[H],x0501a,x0421a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])N([H])N(C([H])([H])[H])C([H])([H])C23C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c1[H],x0501a,x0421b
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])N([H])N(C([H])([H])[H])C([H])([H])C23C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c1[H],x0501a,x0421d
[H]c1c([H])c2c(c([H])c1C([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C2([H])[H],x0501a,x0426a
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])(C([H])([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C2([H])[H],x0501a,x0434a
[H]c1c([H])c(C([H])([H])[H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1F,x0501a,x0485a
[H]O[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C12C([H])([H])C([H])([H])C1(C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C2([H])[H],x0501a,x0489a
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([C@@]1([H])C(=O)[C@]34C([H])([H])C([H])([H])O[C@]([H])(C([H])([H])C3([H])[H])[C@]4([H])C([H])([H])N([H])C1([H])[H])C2([H])[H],x0501a,x0492a
[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],x0501a,x0492b
[H]c1c([H])c(C([H])([H])[H])c([H])c([C@](N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])[N+]([H])([H])[H])c1[H],x0501a,x0540a
